रोपवाटिका.	नर्सरी
वाचनालयाच्या पुढील तासाला विद्यार्थ्यांनी प्रश्नावली सोडवून आणली होती.	वाचनालयाच्या फुडल्या एका वरांत विद्यार्थ्यांनी प्रश्नावली सोदून काडल्यो
सगळ्याच विद्यार्थ्यांनी उत्तर लिहिण्याचा प्रयत्न केला होता.	सगल्या विद्यार्थ्यांनी जाप बरोवपाचो यत्न केल्लो
महेश शर्मद सुझान व मारिया यांनी तर उत्कृष्टच उत्तरे लिहिली होती.	महेश शर्मद सुझान आनी मारिया हांणी उत्कृश्ट उतरां बरयलीं
त्यांनी ती उत्तरे वर्गात वाचून दाखविली.	तीं उतरां ताणें वर्गांत वाचलीं
ज्या मुलांना उत्तरे नीट लिहिता आली नव्हती त्यांना शिक्षिकेने मार्गदर्शन केले.	ज्या भुरग्यांक उतरां योग्य तरेन बरोवंक मेळनात तांकां शिक्षकान मार्गदर्शन केलें
त्यानंतर वर्गातील सर्व मुले वाचनालयाची पुस्तके नीटपणे वाचू लागली.	ते उपरांत वर्गांतलीं सगळीं भुरगीं वाचनालयाचीं पुस्तकां योग्य तरेन वाचपाक लागलीं
रोज परिपाठाच्या वेळी या वर्गातील प्रत्येक विद्यार्थी आता पाळीपाळीने गोष्ट सांगू लागला.	ह्या वर्गांतलो दरेक विद्यार्थी दर एका सराव वेळार आळीपाळीन कथा सांगपाक लागलो
मुख्याध्यापकांनीही या वर्गातील मुलांचे कौतुक केले.	मुख्याध्यापकान वर्गांतल्या भुरग्यांचीय तोखणाय केली
शब्दार्थ.	शब्दार्थ
वेष्टण  आवरण.	आवरण
व्यवस्थित  नीट.	बरें केलें
प्रश्न.	प्रस्न
खाली दिलेल्या प्रश्नांची उत्तरे प्रत्येकी एका शब्दात लिहा.	सकयल दिल्ल्या प्रस्नांच्यो जापो दरेकी एका शब्दांत बरोवन दवरात
मुलांना घेऊन वाचनालयात कोण गेले.	भुरग्यांक घेवन वाचनालयांत कोण गेलो
शिक्षिकेने वाचनालयाच्या प्रत्येक पुस्तकांत काय ठेवले होते.	शिक्षकान वाचनालयाच्या दरेक पुस्तकांत कितें दवरलां
खालील प्रश्नांची प्रत्येकी दोनतीन वाक्यात उत्तरे लिहा.	सकयल दिल्ल्या प्रस्नांच्यो जापो दरेकी दोन ते तीन वाक्यांनी बरोवप
महेशने वाचनालयाच्या वहीत काय नोंदवून ठेवले.	महेशान लायब्ररीच्या नोटबुकांत कितें नोंद केलां
शिक्षिका कोणत्या विद्यार्थ्यांना खास गुण देणार होत्या.	शिक्षक खंयच्या विद्यार्थ्यांक विशेश गूण दिवपाचे आशिल्ले
नवीन योजनेचा परिपाठासाठी मुलांना कसा उपयोग झाला.	नव्या येवजणेक लागून भुरग्यांक धड्याची तयारी करपाक कशी मजत जाली
खालील प्रश्नांची उत्तरे प्रत्येकी तीनचार वाक्यांत लिहा.	सकयल दिल्ल्या प्रस्नांच्यो जापो दरेकी तीन ते चार वाक्यांनी बरोवप
सुझानने वाचनालयाच्या बहीत कोणती नोंद केली होती.	सुझानान वाचनालयाच्या पुस्तकांत कितें नोंद केलां
शिक्षिकेने कोणती नवीन योजना सांगितली.	शिक्षकान तुमकां कसली नवी येवजण सांगली
व्यवसाय.	वेवसाय
एक पुस्तक अनेक पुस्तके या प्रकारे खालील नामांची रूपे लिहा.	एक पुस्तक कितलीशींच पुस्तकां म्हूण सकयल दिल्ल्या नांवांचीं रुपां अशे तरेन बरयतात
एक अनेक.	एक कितलेशेच
यी फळ.	हें फळ
उपक्रम.	उपक्रम
पुस्तकाचे नाव.	पुस्तकाचें नांव
लेखकाचे नाव.	लेखकाचे नांव
कथेचे नाव.	कथेचें नांव
तुम्हाला जास्त आवडलेली व्यक्‍ती.	तुमकां सगळ्यांत चड आवडपी व्यक्ती
आवडलेला प्रसंग.	आवडीचो प्रसंग
आवडलेले विचार.	आवडीचे विचार
